,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,27/06/2024,10.88,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
1,28/06/2024,10.36,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
2,02/07/2024,10.36,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
3,03/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
4,04/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
5,05/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
6,06/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
7,07/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
8,08/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
9,09/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
10,10/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
11,11/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
12,12/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
13,13/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
14,14/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
15,15/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
16,16/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
17,17/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
18,18/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
19,19/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
20,20/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
21,21/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
22,22/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
23,23/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
24,24/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
25,25/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
26,26/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
27,27/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
28,28/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
29,29/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
30,30/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
31,31/07/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
32,01/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
33,02/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
34,03/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
35,04/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
36,05/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
37,06/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
38,07/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
39,08/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
40,09/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
41,10/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
42,11/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
43,12/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
44,13/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
45,14/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
46,15/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
47,16/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
48,17/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
49,18/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
50,19/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
51,20/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
52,21/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
53,22/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
54,23/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
55,24/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
56,25/08/2024,9.28,Carbonell Gran Selección  Aceite De Oliva Virgen Extra Botella De Cristal De 750 Ml.,,0.75,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/carbonell-gran-seleccion-aceite-de-oliva-virgen-extra-botella-de-cristal-de-750-ml/
