,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,12/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
1,13/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
2,14/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
3,15/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
4,16/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
5,17/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
6,18/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
7,19/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
8,20/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
9,21/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
10,22/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
11,23/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
12,24/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
13,25/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
14,26/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
15,27/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
16,28/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
17,29/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
18,30/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
19,31/08/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
20,01/09/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
21,02/09/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
22,03/09/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
23,04/09/2024,12.99,Coosur Aceite De Oliva Virgen Extra Botella De 1 L.,,1.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-botella-de-1-l/
