,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,28/06/2024,39.75,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
1,29/06/2024,39.75,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
2,02/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
3,03/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
4,04/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
5,05/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
6,06/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
7,07/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
8,08/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
9,09/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
10,11/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
11,12/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
12,23/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
13,29/07/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
14,03/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
15,04/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
16,05/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
17,06/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
18,07/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
19,08/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
20,09/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
21,10/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
22,11/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
23,12/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
24,13/08/2024,38.99,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
25,14/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
26,15/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
27,16/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
28,17/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
29,18/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
30,19/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
31,20/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
32,21/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
33,22/08/2024,37.85,Suroliva Aceite De Oliva Virgen Extra Garrafa 5 L .,,5.0,l,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/suroliva-aceite-de-oliva-virgen-extra-garrafa-5-l-/
