Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
22/06/2024,22.48,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
23/06/2024,22.48,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
24/06/2024,22.48,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
26/06/2024,22.48,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
11/07/2024,21.40,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
12/07/2024,21.40,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
13/07/2024,21.40,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
14/07/2024,21.40,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
23/07/2024,21.40,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
30/08/2024,21.40,"valdezarza aceite de oliva virgen extra 2,5 l",valdezarza,1,2.5,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/valdezarza-aceite-de-oliva-virgen-extra-25-l/
