Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
02/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
03/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
04/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
05/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
06/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
07/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
08/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
09/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
10/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
11/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
12/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
13/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
14/07/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
02/08/2024,17.13,el molino d gines aceite de oliva virgen extra garrafa 2 l.,el molino de gines,1,2.0,l,virgen extra,,False,aceite_de_oliva,alcampo,https://super.facua.org/alcampo/aceite-de-oliva/el-molino-d-gines-aceite-de-oliva-virgen-extra-garrafa-2-l/
