,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,19/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
1,20/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
2,21/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
3,22/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
4,23/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
5,24/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
6,25/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
7,26/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
8,27/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
9,28/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
10,29/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
11,30/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
12,31/07/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
13,01/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
14,02/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
15,03/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
16,04/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
17,05/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
18,06/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
19,07/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
20,08/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
21,09/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
22,10/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
23,11/08/2024,0.99,"Alcampo Cultivamos Lo Bueno Leche De Vaca Entera, De Origen Española 1 L.",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/alcampo-cultivamos-lo-bueno-leche-de-vaca-entera-de-origen-espanola-1-l/
