,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
1,16/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
2,17/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
3,18/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
4,19/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
5,20/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
6,21/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
7,22/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
8,23/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
9,24/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
10,25/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
11,26/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
12,27/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
13,28/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
14,29/07/2024,0.99,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
15,30/07/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
16,31/07/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
17,01/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
18,02/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
19,03/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
20,04/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
21,05/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
22,07/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
23,08/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
24,09/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
25,10/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
26,11/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
27,12/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
28,13/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
29,14/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
30,15/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
31,16/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
32,17/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
33,18/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
34,19/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
35,20/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
36,21/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
37,22/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
38,23/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
39,24/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
40,25/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
41,26/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
42,27/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
43,28/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
44,29/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
45,30/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
46,31/08/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
47,01/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
48,02/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
49,03/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
50,04/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
51,05/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
52,06/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
53,07/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
54,08/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
55,09/09/2024,0.93,"Auchan Leche Desnatada De Vaca, Enriquecida Con Calcio 1 L. Producto Alcampo",,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/auchan-leche-desnatada-de-vaca-enriquecida-con-calcio-1-l-producto-alcampo/
