,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
1,16/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
2,17/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
3,18/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
4,19/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
5,29/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
6,30/07/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
7,03/08/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
8,04/08/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
9,05/08/2024,1.62,"Central Lechera Asturiana Leche Desnatada (0% Materia Grasa) De Vaca, Sin Lactosa Y De Origen Español1.5 L.",,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-de-vaca-sin-lactosa-y-de-origen-espanol15-l/
