,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
1,16/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
2,17/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
3,18/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
4,19/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
5,20/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
6,21/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
7,22/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
8,23/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
9,24/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
10,25/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
11,26/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
12,27/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
13,28/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
14,29/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
15,30/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
16,31/07/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
17,01/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
18,02/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
19,03/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
20,04/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
21,05/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
22,06/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
23,07/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
24,08/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
25,09/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
26,10/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
27,11/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
28,12/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
29,13/08/2024,6.54,Central Lechera Asturiana Leche Desnatada 0% Materia Grasa Sin Lactosa  6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-desnatada-0-materia-grasa-sin-lactosa-6-x-1l/
