,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
1,16/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
2,17/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
3,18/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
4,19/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
5,20/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
6,21/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
7,22/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
8,23/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
9,24/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
10,25/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
11,26/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
12,27/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
13,28/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
14,29/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
15,30/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
16,31/08/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
17,01/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
18,02/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
19,03/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
20,04/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
21,05/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
22,06/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
23,07/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
24,08/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
25,09/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
26,10/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
27,11/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
28,12/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
29,13/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
30,14/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
31,15/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
32,16/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
33,17/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
34,18/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
35,19/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
36,20/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
37,21/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
38,22/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
39,23/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
40,24/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
41,25/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
42,26/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
43,27/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
44,28/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
45,29/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
46,30/09/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
47,01/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
48,02/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
49,03/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
50,04/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
51,05/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
52,06/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
53,07/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
54,08/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
55,09/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
56,10/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
57,11/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
58,12/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
59,13/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
60,14/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
61,15/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
62,16/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
63,17/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
64,18/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
65,19/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
66,20/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
67,21/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
68,22/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
69,23/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
70,24/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
71,25/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
72,26/10/2024,7.80,La Colmenareña Leche Desnatada 6 X 1L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-desnatada-6-x-1l/
