,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,08/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
1,09/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
2,10/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
3,11/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
4,12/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
5,13/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
6,14/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
7,15/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
8,16/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
9,17/08/2024,9.00,La Colmenareña Leche Semidesnatada Sin Gluten Y Sin Lactosa  6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/la-colmenarena-leche-semidesnatada-sin-gluten-y-sin-lactosa-6-x-1-l/
