,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
1,17/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
2,18/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
3,19/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
4,20/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
5,21/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
6,22/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
7,23/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
8,24/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
9,25/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
10,26/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
11,27/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
12,28/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
13,29/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
14,30/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
15,31/08/2024,1.45,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
