,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.49,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
1,16/07/2024,1.49,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
2,17/07/2024,1.49,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
3,18/07/2024,1.49,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
4,19/07/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
5,27/07/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
6,28/07/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
7,29/07/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
8,30/07/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
9,31/07/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
10,01/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
11,02/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
12,03/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
13,04/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
14,05/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
15,06/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
16,07/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
17,08/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
18,09/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
19,10/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
20,11/08/2024,1.55,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
21,12/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
22,13/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
23,14/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
24,15/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
25,16/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
26,17/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
27,18/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
28,19/08/2024,1.45,Président Leche Semidesnatada De Vaca De Origen 100% Español Selección 1.5 L.,,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
