Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
20/07/2024,11.40,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
22/07/2024,11.40,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
15/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
16/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
17/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
18/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
19/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
20/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
21/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
22/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
23/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
24/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
25/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
26/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
27/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
28/08/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
12/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
13/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
14/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
15/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
16/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
17/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
18/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
19/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
20/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
21/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
22/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
23/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
24/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
25/09/2024,9.54,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
16/10/2024,10.50,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
19/10/2024,10.50,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
20/10/2024,10.50,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
21/10/2024,10.50,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
22/10/2024,10.50,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
23/10/2024,10.50,"puleva leche de crecimiento, sin lactosa con omega 3 max crecimiento + desarrollo 6 x 1 l.",puleva,6,1.0,l,leche vaca, sin lactosa,False,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-crecimiento-sin-lactosa-con-omega-3-max-crecimiento-desarrollo-6-x-1-l/
