,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,12/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
1,13/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
2,14/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
3,15/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
4,16/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
5,17/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
6,18/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
7,19/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
8,20/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
9,21/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
10,22/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
11,23/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
12,24/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
13,25/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
14,26/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
15,27/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
16,28/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
17,29/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
18,30/09/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
19,01/10/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
20,02/10/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
21,03/10/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
22,04/10/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
23,05/10/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
24,06/10/2024,5.40,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
25,26/10/2024,5.94,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 6 X 1 L.,6,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/puleva-leche-de-vaca-entera-ligera-solo-2-de-materia-grasa-6-x-1-l/
