,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,14/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
1,15/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
2,16/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
3,17/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
4,18/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
5,19/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
6,20/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
7,21/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
8,22/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
9,23/09/2024,0.78,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,,1.0,l,leche,alcampo,https://super.facua.org/alcampo/leche/tierra-de-sabor-leche-semidesnatada-de-vaca-1-l/
