Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
15/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
17/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
18/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
19/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
20/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
21/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
22/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
23/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
24/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
25/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
26/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
27/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
28/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
29/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
30/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
31/08/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
01/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
02/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
03/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
04/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
05/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
06/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
07/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
08/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
09/09/2024,1.45,president leche desnatada de vaca de origen 100% espanol seleccion 1.5 l.,president,,1.5,l,leche vaca,desnatada,False,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-desnatada-de-vaca-de-origen-100-espanol-seleccion-15-l/
