,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,22/06/2024,39.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
1,23/06/2024,39.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
2,24/06/2024,39.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
3,25/06/2024,49.60,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
4,26/06/2024,49.60,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
5,27/06/2024,49.60,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
6,28/06/2024,49.60,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
7,29/06/2024,49.60,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
8,30/06/2024,49.60,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
9,01/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
10,02/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
11,03/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
12,04/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
13,05/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
14,06/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
15,07/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
16,08/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
17,09/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
18,10/07/2024,47.24,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
19,11/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
20,12/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
21,13/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
22,14/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
23,15/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
24,16/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
25,17/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
26,18/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
27,19/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
28,20/07/2024,37.45,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,,5.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/
