,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,02/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
1,03/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
2,04/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
3,05/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
4,07/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
5,08/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
6,09/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
7,10/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
8,11/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
9,12/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
10,13/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
11,14/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
12,15/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
13,16/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
14,17/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
15,18/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
16,19/07/2024,5.67,Aceite De Oliva Virgen Extra Carrefour 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carrefour-500-ml/
