,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,02/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
1,03/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
2,04/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
3,05/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
4,06/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
5,07/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
6,08/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
7,09/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
8,10/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
9,11/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
10,12/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
11,13/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
12,14/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
13,15/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
14,16/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
15,17/07/2024,12.33,Aceite De Oliva Virgen Extra De Nuestra Tierra 1 L.,,1.0,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-1-l/
