,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,02/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
1,03/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
2,04/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
3,05/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
4,06/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
5,07/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
6,08/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
7,09/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
8,12/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
9,13/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
10,14/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
11,15/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
12,16/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
13,17/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
14,18/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
15,19/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
16,20/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
17,21/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
18,22/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
19,23/07/2024,28.52,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
20,24/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
21,25/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
22,26/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
23,27/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
24,28/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
25,29/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
26,30/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
27,31/07/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
28,01/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
29,02/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
30,03/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
31,04/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
32,05/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
33,06/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
34,07/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
35,08/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
36,09/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
37,10/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
38,11/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
39,12/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
40,13/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
41,14/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
42,15/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
43,16/08/2024,28.50,"Aceite De Oliva Virgen Extra De Nuestra Tierra 2,5 L.",,2.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-de-nuestra-tierra-25-l/
