,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,02/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
1,03/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
2,04/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
3,05/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
4,06/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
5,07/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
6,08/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
7,09/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
8,10/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
9,11/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
10,12/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
11,13/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
12,14/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
13,15/07/2024,6.95,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
14,16/07/2024,7.76,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
15,17/07/2024,7.76,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,,0.5,l,aceite_de_oliva,carrefour,https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/
