,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
1,16/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
2,17/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
3,18/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
4,19/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
5,24/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
6,25/07/2024,1.00,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
7,26/07/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
8,27/07/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
9,28/07/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
10,29/07/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
11,30/07/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
12,31/07/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
13,01/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
14,02/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
15,03/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
16,04/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
17,05/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
18,06/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
19,07/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
20,08/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
21,09/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
22,10/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
23,11/08/2024,1.36,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
24,12/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
25,13/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
26,14/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
27,15/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
28,16/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
29,17/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
30,18/08/2024,1.26,Leche Desnatada 0% Mg Disney Puleva Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-0-mg-disney-puleva-brik-1-l-/
