,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
1,16/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
2,17/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
3,18/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
4,19/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
5,20/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
6,21/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
7,22/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
8,23/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
9,26/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
10,27/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
11,28/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
12,29/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
13,30/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
14,31/07/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
15,01/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
16,02/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
17,03/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
18,04/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
19,05/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
20,07/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
21,09/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
22,10/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
23,11/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
24,12/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
25,13/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
26,14/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
27,15/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
28,16/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
29,17/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
30,18/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
31,19/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
32,20/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
33,21/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
34,22/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
35,23/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
36,24/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
37,25/08/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
38,26/08/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
39,27/08/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
40,28/08/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
41,29/08/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
42,30/08/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
43,31/08/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
44,01/09/2024,0.73,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
45,02/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
46,03/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
47,04/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
48,05/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
49,06/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
50,07/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
51,08/09/2024,0.78,Leche Desnatada Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-brik-1-l-/
