Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
15/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
16/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
17/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
18/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
19/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
20/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
21/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
22/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
23/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
24/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
25/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
26/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
27/07/2024,2.45,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
01/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
02/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
03/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
04/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
05/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
06/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
07/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
08/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
09/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
10/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
11/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
12/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
13/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
14/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
15/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
16/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
17/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
18/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
19/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
20/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
21/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
22/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
23/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
24/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
25/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
26/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
27/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
28/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
29/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
30/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
31/08/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
01/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
02/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
03/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
04/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
05/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
06/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
07/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
11/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
12/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
13/09/2024,2.49,"leche entera fresca puleva botella 1,5 l.",puleva,,1.5,l,leche vaca,entera fresca,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-fresca-puleva-botella-15-l-/
