Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
15/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
16/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
17/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
18/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
19/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
20/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
21/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
22/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
23/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
24/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
25/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
26/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
27/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
28/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
29/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
30/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
31/07/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
01/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
02/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
03/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
04/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
05/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
06/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
07/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
09/08/2024,3.25,leche semidesnatada pascual sin lactosa pack de 6 briks de 200 ml.,pascual,1,0.2,l,vaca,semidesnatada sin lactosa,False,leche,carrefour,https://super.facua.org/carrefour/leche/leche-semidesnatada-pascual-sin-lactosa-pack-de-6-briks-de-200-ml-/
