,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,25/06/2024,2.99,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
1,27/06/2024,2.99,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
2,11/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
3,12/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
4,13/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
5,14/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
6,15/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
7,16/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
8,17/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
9,18/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
10,19/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
11,20/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
12,21/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
13,22/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
14,23/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
15,24/07/2024,2.85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,,0.25,l,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
