Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
25/06/2024,2.99,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
27/06/2024,2.99,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
11/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
12/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
13/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
14/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
15/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
16/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
17/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
18/07/2024,2.85,aceite de oliva virgen extra a la guindilla la espanola botella 250 ml,la espanola,1,0.25,l,virgen extra,,False,aceite_de_oliva,dia,https://super.facua.org/dia/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-guindilla-la-espanola-botella-250-ml/
