,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,25/06/2024,59.35,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
1,26/06/2024,59.35,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
2,27/06/2024,59.35,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
3,02/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
4,03/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
5,04/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
6,05/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
7,06/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
8,07/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
9,08/07/2024,56.52,"Aceite De Oliva 0,4º Carbonell, Lata 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-lata-5-litros/
