Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
06/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
07/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
08/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
09/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
10/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
11/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
12/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
13/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
14/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
15/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
16/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
17/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
18/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
19/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
20/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
21/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
22/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
23/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
24/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
25/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
26/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
27/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
28/08/2024,4.75,"aceite de oliva v. extra palacio de los olivos, botella 25 cl",palacio de los olivos,1,1.0,,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-v-extra-palacio-de-los-olivos-botella-25-cl/
