Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
25/06/2024,3.49,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
26/06/2024,3.49,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
27/06/2024,4.39,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
28/06/2024,4.39,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
02/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
03/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
04/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
05/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
06/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
07/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
08/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
09/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
10/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
11/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
12/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
13/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
14/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
15/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
16/07/2024,4.18,"aceite de oliva virgen extra carbonell, spray  20 cl",carbonell,,1.0,,virgen extra,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-spray-20-cl/
