,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,25/06/2024,43.79,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
1,06/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
2,07/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
3,08/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
4,09/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
5,10/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
6,11/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
7,12/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
8,13/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
9,14/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
10,15/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
11,16/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
12,17/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
13,18/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
14,19/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
15,20/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
16,21/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
17,22/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
18,23/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
19,24/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
20,25/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
21,26/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
22,27/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
23,28/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
24,29/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
25,30/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
26,31/07/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
27,01/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
28,02/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
29,04/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
30,05/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
31,06/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
32,07/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
33,09/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
34,10/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
35,11/08/2024,41.70,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
36,12/08/2024,40.95,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
37,13/08/2024,40.95,"Aceite De Oliva Virgen Guillen, Garrafa 5 Litros",,5.0,l,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-guillen-garrafa-5-litros/
