Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
06/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
07/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
08/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
09/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
10/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
11/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
12/08/2024,11.32,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
13/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
14/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
15/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
16/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
17/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
18/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
19/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
20/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
21/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
22/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
23/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
24/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
25/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
26/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
27/08/2024,10.89,"aceite de oliva virgen regium carbonell, botella 75 cl",carbonell,,1.0,,virgen,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-virgen-regium-carbonell-botella-75-cl/
