Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
25/06/2024,39.95,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
26/06/2024,39.95,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
27/06/2024,41.29,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
02/07/2024,39.32,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
03/07/2024,39.32,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
04/07/2024,39.32,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
05/07/2024,39.32,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
18/07/2024,55.19,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
19/07/2024,55.19,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
20/07/2024,55.19,"aceite de oliva 0,4o carbonell, garrafa 5 litros",carbonell,,5.0,l,suave,,False,aceite_de_oliva,eroski,https://super.facua.org/eroski/aceite-de-oliva/aceite-de-oliva-04-carbonell-garrafa-5-litros/
