Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
15/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
16/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
17/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
18/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
19/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
20/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
21/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
22/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
23/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
24/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
25/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
26/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
27/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
28/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
29/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
30/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
31/07/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
01/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
02/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
03/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
04/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
05/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
06/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
07/08/2024,1.99,"leche con avena asturiana, brik 1 litro",asturiana,1,1.0,l,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-con-avena-asturiana-brik-1-litro/
