,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,05/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
1,06/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
2,07/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
3,08/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
4,09/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
5,10/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
6,11/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
7,12/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
8,13/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
9,14/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
10,15/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
11,16/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
12,17/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
13,18/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
14,19/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
15,20/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
16,21/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
17,22/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
18,23/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
19,24/09/2024,1.24,"Leche Entera Euskal Herria, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-euskal-herria-brik-1-litro/
