Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
15/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
16/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
17/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
18/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
19/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
20/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
21/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
22/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
23/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
24/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
25/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
26/07/2024,1.59,"leche evaporizada ideal, porciones, pack 10x7,5 g",ideal,10,10.0,g,vaca,,False,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporizada-ideal-porciones-pack-10x75-g/
