,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
1,16/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
2,17/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
3,18/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
4,19/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
5,23/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
6,24/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
7,25/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
8,26/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
9,27/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
10,28/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
11,29/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
12,30/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
13,31/07/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
14,01/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
15,02/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
16,03/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
17,04/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
18,05/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
19,06/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
20,07/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
21,08/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
22,09/08/2024,2.39,"Leche Líquida Evaporizada Ideal, Brik 525 G",,525.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-liquida-evaporizada-ideal-brik-525-g/
