,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,16/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
1,17/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
2,18/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
3,19/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
4,20/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
5,21/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
6,22/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
7,23/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
8,24/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
9,25/07/2024,1.59,"Leche Sin Lactosa Con Proteinas Pascual Protein, Brik 1 Litro",,1.0,l,leche,eroski,https://super.facua.org/eroski/leche/leche-sin-lactosa-con-proteinas-pascual-protein-brik-1-litro/
