Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
02/07/2024,9.65,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
11/07/2024,9.65,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
12/07/2024,9.65,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
13/07/2024,9.65,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
14/07/2024,10.30,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
15/07/2024,8.95,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
16/07/2024,8.95,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
17/07/2024,8.95,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
18/07/2024,8.95,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
19/07/2024,8.95,abril aceite de oliva virgen extra hojiblanca botella 1 l,abril,,1.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/abril-aceite-de-oliva-virgen-extra-hojiblanca-botella-1-l/
