,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,31/07/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
1,02/08/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
2,19/08/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
3,26/08/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
4,30/08/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
5,09/09/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
6,17/09/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
7,20/09/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
8,29/09/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
9,01/10/2024,10.75,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
10,14/10/2024,10.96,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
11,21/10/2024,10.96,Aceites De Ardales Aceites De Oliva Virgen Extra Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/aceites-de-ardales-aceites-de-oliva-virgen-extra-botella-1-l/
