,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,25/06/2024,43.75,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
1,28/06/2024,43.75,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
2,29/06/2024,43.75,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
3,01/07/2024,41.67,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
4,02/07/2024,41.67,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
5,03/07/2024,41.67,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
6,05/07/2024,56.00,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
7,06/07/2024,56.00,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
8,10/07/2024,56.00,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
9,11/07/2024,56.00,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/coosur-aceite-de-oliva-virgen-extra-garrafa-5-l/
