,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,02/07/2024,41.76,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
1,11/07/2024,41.76,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
2,12/07/2024,41.76,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
3,13/07/2024,41.76,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
4,14/07/2024,41.76,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
5,16/07/2024,41.76,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
6,17/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
7,18/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
8,19/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
9,20/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
10,21/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
11,22/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
12,23/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
13,24/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
14,25/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
15,26/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
16,27/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
17,28/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
18,30/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
19,31/07/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
20,01/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
21,02/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
22,03/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
23,04/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
24,05/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
25,07/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
26,09/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
27,10/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
28,13/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
29,14/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
30,16/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
31,17/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
32,18/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
33,19/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
34,20/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
35,21/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
36,22/08/2024,40.50,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
37,23/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
38,24/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
39,25/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
40,26/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
41,27/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
42,28/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
43,29/08/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
44,01/09/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
45,03/09/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
46,04/09/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
47,05/09/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
48,06/09/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
49,07/09/2024,39.00,El Corte Ingles Aceite De Oliva Virgen Garrafa 5 L,,5.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/el-corte-ingles-aceite-de-oliva-virgen-garrafa-5-l/
