Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
17/09/2024,49.95,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
19/09/2024,49.95,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
20/09/2024,49.95,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
23/09/2024,49.95,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
25/09/2024,49.95,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
26/09/2024,54.50,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
27/09/2024,54.50,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
28/09/2024,54.50,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
30/09/2024,54.50,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
01/10/2024,55.59,fuenroble aceite de oliva virgen extra picual dop sierra de segura lata 3 l,fuenroble,1,3.0,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/fuenroble-aceite-de-oliva-virgen-extra-picual-dop-sierra-de-segura-lata-3-l/
