Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
02/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
11/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
12/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
13/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
14/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
15/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
16/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
17/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
18/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
19/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
20/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
21/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
22/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
23/07/2024,12.10,k. arguinano aceite de oliva virgen extra botella 750 ml,k. arguinano,,0.75,l,virgen extra,,False,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/k-arguinano-aceite-de-oliva-virgen-extra-botella-750-ml/
