Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
15/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
16/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
17/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
18/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
19/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
20/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
21/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
22/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
23/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
24/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
25/07/2024,9.89,asturiana leche en polvo entera estuche 800 g,asturiana,1,800.0,g,vaca,entera,False,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-en-polvo-entera-estuche-800-g/
