,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,16/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
1,17/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
2,18/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
3,19/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
4,20/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
5,21/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
6,22/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
7,23/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
8,24/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
9,25/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
10,26/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
11,27/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
12,28/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
13,29/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
14,30/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
15,31/07/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
16,01/08/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
17,02/08/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
18,03/08/2024,1.38,Asturiana Leche Semidesnatada Sin Lactosa Pack 3 Briks 200 Ml,,0.2,l,leche,hipercor,https://super.facua.org/hipercor/leche/asturiana-leche-semidesnatada-sin-lactosa-pack-3-briks-200-ml/
