,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
1,16/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
2,17/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
3,18/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
4,19/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
5,22/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
6,23/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
7,24/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
8,25/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
9,26/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
10,27/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
11,28/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
12,29/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
13,30/07/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
14,01/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
15,02/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
16,03/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
17,04/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
18,05/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
19,06/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
20,07/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
21,08/08/2024,1.29,Ato Leche Desnatada Sin Lactosa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/ato-leche-desnatada-sin-lactosa-brik-1-l/
