Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
20/07/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
21/07/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
31/07/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
09/08/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
12/08/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
15/08/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
17/08/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
12/09/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
24/09/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
26/09/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
30/09/2024,1.17,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
18/10/2024,1.19,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
25/10/2024,1.19,ideal leche evaporada parcialmente desnatada para salsas y cremas ligeras brik 210 g,ideal,,210.0,g,leche vaca,desnatada,False,leche,hipercor,https://super.facua.org/hipercor/leche/ideal-leche-evaporada-parcialmente-desnatada-para-salsas-y-cremas-ligeras-brik-210-g/
