,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,13/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
1,14/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
2,15/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
3,16/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
4,17/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
5,18/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
6,19/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
7,20/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
8,21/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
9,22/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
10,23/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
11,25/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
12,27/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
13,28/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
14,29/09/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
15,01/10/2024,1.75,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
16,02/10/2024,1.75,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
17,14/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
18,15/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
19,16/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
20,17/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
21,22/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
22,23/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
23,24/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
24,26/10/2024,1.72,"Larsa Leche Desnatada De Pastoreo Botella 1,5 L",,1.5,l,leche,hipercor,https://super.facua.org/hipercor/leche/larsa-leche-desnatada-de-pastoreo-botella-15-l/
