Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
21/07/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
31/07/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
01/08/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
04/08/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
07/08/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
19/08/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
20/08/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
30/08/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
29/09/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
30/09/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
01/10/2024,1.92,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
14/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
15/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
16/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
17/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
18/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
21/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
23/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
24/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
25/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
26/10/2024,1.95,"leyma natura leche fresca semidesnatada botella 1,5 l",leyma natura,,1.5,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/leyma-natura-leche-fresca-semidesnatada-botella-15-l/
