,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
1,16/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
2,17/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
3,19/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
4,20/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
5,21/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
6,22/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
7,23/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
8,24/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
9,25/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
10,26/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
11,27/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
12,28/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
13,29/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
14,30/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
15,31/07/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
16,01/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
17,02/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
18,03/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
19,04/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
20,05/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
21,06/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
22,07/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
23,08/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
24,09/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
25,10/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
26,11/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
27,12/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
28,13/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
29,14/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
30,15/08/2024,1.19,Llet Nostra Leche Entera Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/llet-nostra-leche-entera-brik-1-l/
