,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
1,16/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
2,17/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
3,18/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
4,19/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
5,20/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
6,21/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
7,22/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
8,23/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
9,24/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
10,25/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
11,26/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
12,27/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
13,28/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
14,29/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
15,30/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
16,31/07/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
17,01/08/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
18,02/08/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
19,03/08/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
20,04/08/2024,11.95,Nestle Sveltesse Leche Desnatada En Polvo Rica En Calcio Bote 1 Kg,,,,leche,hipercor,https://super.facua.org/hipercor/leche/nestle-sveltesse-leche-desnatada-en-polvo-rica-en-calcio-bote-1-kg/
