,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
1,16/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
2,20/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
3,21/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
4,22/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
5,23/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
6,24/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
7,26/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
8,28/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
9,29/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
10,30/07/2024,1.59,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,,1.0,l,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-dinamic-protein-leche-sin-lactosa-enriquecida-con-proteinas-baja-en-grasa-brik-1-l/
