Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
16/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
17/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
18/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
19/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
20/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
21/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
22/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
23/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
24/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
25/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
26/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
27/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
28/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
29/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
30/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
31/07/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
01/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
02/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
03/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
04/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
05/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
08/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
09/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
10/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
11/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
12/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
14/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
16/08/2024,3.09,pascual leche semidesnatada sin lactosa pack 6 briks 200 cl,pascual,,2.0,l,leche vaca,semidesnatada sin lactosa,False,leche,hipercor,https://super.facua.org/hipercor/leche/pascual-leche-semidesnatada-sin-lactosa-pack-6-briks-200-cl/
