,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,17/07/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
1,19/07/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
2,23/07/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
3,27/07/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
4,01/08/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
5,04/08/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
6,28/08/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
7,03/09/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
8,05/09/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
9,07/09/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
10,09/09/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
11,11/09/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
12,16/09/2024,5.69,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,,500.0,g,leche,hipercor,https://super.facua.org/hipercor/leche/pano-naturae-leche-en-polvo-desnatada-1-materia-grasa-ecologica-bolsa-500-g/
