Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
17/07/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
18/07/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
19/07/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
25/07/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
27/07/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
02/08/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
07/08/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
22/08/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
30/08/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
08/09/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
11/09/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
15/09/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
28/09/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
01/10/2024,3.09,ecomil leche de coco ecologica sin gluten y sin lactosa envase 1 l,ecomil,1,1.0,l,vaca, sin lactosa,True,leche,hipercor,https://super.facua.org/hipercor/leche/ecomil-leche-de-coco-ecologica-sin-gluten-y-sin-lactosa-envase-1-l/
