Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
17/07/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
10/08/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
16/08/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
17/08/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
19/08/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
02/09/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
08/09/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
14/10/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
16/10/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
17/10/2024,16.95,hipp biologico leche de continuacion bio 2 ecologica con omega 3 y calcio desde los 6 meses envase 600 g,otras,,600.0,g,leche vaca, calcio,True,leche,hipercor,https://super.facua.org/hipercor/leche/hipp-biologico-leche-de-continuacion-bio-2-ecologica-con-omega-3-y-calcio-desde-los-6-meses-envase-600-g/
