Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
17/07/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
10/08/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
16/08/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
17/08/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
19/08/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
02/09/2024,1.75,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
08/09/2024,1.75,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
14/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
16/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
17/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
18/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
19/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
20/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
21/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
22/10/2024,1.95,"puleva peques 3 crecimiento preparado lacteo con omega 3, dha, calcio y 13 vitaminas de 12 a 36 meses brik 1 l sin azucar anadido y sin aceite de p",puleva,1,1.0,l,otras, calcio,False,leche,hipercor,https://super.facua.org/hipercor/leche/puleva-peques-3-crecimiento-preparado-lacteo-con-omega-3-dha-calcio-y-13-vitaminas-de-12-a-36-meses-brik-1-l-sin-azucar-anadido-y-sin-aceite-de-p/
