,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
1,16/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
2,17/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
3,18/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
4,19/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
5,20/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
6,21/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
7,22/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
8,23/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
9,24/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
10,25/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
11,26/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
12,27/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
13,28/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
14,29/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
15,30/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
16,31/07/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
17,01/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
18,02/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
19,03/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
20,04/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
21,05/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
22,06/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
23,07/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
24,08/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
25,09/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
26,10/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
27,11/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
28,12/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
29,13/08/2024,1.60,Leche Entera Hacendado 1.2 L.,,1.2,l,leche,mercadona,https://super.facua.org/mercadona/leche/leche-entera-hacendado-12-l/
